BULAN	                 Berat sampah menurut bulan (Ton) 					
	        2017	   2018	    2020	     2021	     2022	       2023
JANUARI	  4198.81	 4529.92	6998.54	  3882.81	  5.590.906	   5706.4
FEBRUARI	4088.64	 4146.75	4233.85	  3900.66	  5.049.851	   4753
MARET	    3860.26	 4519.28	4661.24	  3900.46	  5.590.906	   6043
APRIL	    3744.32	 4344.32	4880.28	  3996.68	  5.410.554	   5976
MEI	      3875.58	 4675.58	5688.32	  4762.87	  5.590.906	   5063
JUNI	    4002	   4802.1	  5556.1	  4069.1	  5.410.554	   5873.8
JULI	    3971	   4395.5	  5350.41	  4420.93	  5.590.906	   5738.2
AGUSTUS	  3666.72	 4575	    5219.53	  3950.83	  5.590.906	   5111.7
SEPTEMBER	3596.72	 4450	    5287.64	  3898.94	  5.410.554	   5576.9
OKTOBER	  3547.37	 4700.5	  5242.23	  3947.23	  5.590.906	   5716.3
NOVEMBER	3596.99	 4509.9	  5525.38	  3899.98	  5.410.554	   5876
DESEMBER	3601.72	 4456.55	6750.12	  4591.43	  5.590.906	   5874
TAHUNAN	  45750.37 54105.4	65393.64	49221.92	65.828.409	 67308.3
